GPSID,GamePlatformID,game_title,platform,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
379,171,spore galactic adventures,pc,42.0,-0.57,18.0,-0.24,14.0,-0.19,12.0,-0.38,18.0,-0.56,2.0,-0.06
380,209,metal slug 4 & 5,playstation-2,6.0,-0.55,5.0,-0.45,0.0,0.0,11.0,-0.55,8.0,-0.4,1.0,-0.05
381,471,metal slug 4 & 5,xbox,9.0,-1.0,0.0,0.0,0.0,0.0,10.0,-0.45,10.0,-0.45,2.0,-0.09
382,363,namco museum battle collection,psp,14.0,-0.93,1.0,-0.07,0.0,0.0,22.0,-0.79,5.0,-0.18,1.0,-0.04
383,220,yakuza 2,playstation-2,90.0,-0.89,9.0,-0.09,2.0,-0.02,25.0,-0.74,9.0,-0.26,0.0,0.0
384,219,primal,playstation-2,45.0,-0.83,7.0,-0.13,2.0,-0.04,22.0,-0.61,12.0,-0.33,2.0,-0.06
385,95,rune factory 4,nintendo-switch,69.0,-0.79,9.0,-0.1,9.0,-0.1,29.0,-0.91,3.0,-0.09,0.0,0.0
386,17,rune factory 4,3ds,128.0,-0.79,16.0,-0.1,19.0,-0.12,25.0,-0.76,8.0,-0.24,0.0,0.0
387,218,jak and daxter: the precursor legacy,playstation-2,560.0,-0.87,63.0,-0.1,22.0,-0.03,35.0,-1.0,0.0,0.0,0.0,0.0
388,217,champions: return to arms,playstation-2,29.0,-0.74,4.0,-0.1,6.0,-0.15,34.0,-0.71,14.0,-0.29,0.0,0.0
389,369,mega man maverick hunter x,psp,108.0,-0.89,6.0,-0.05,7.0,-0.06,28.0,-0.82,4.0,-0.12,2.0,-0.06
390,486,sherlock holmes vs. jack the ripper,xbox-360,6.0,-0.35,8.0,-0.47,3.0,-0.18,5.0,-0.21,16.0,-0.67,3.0,-0.13
391,125,sherlock holmes vs. jack the ripper,pc,39.0,-0.62,20.0,-0.32,4.0,-0.06,13.0,-0.5,13.0,-0.5,0.0,0.0
392,316,dynasty warriors 7,playstation-3,38.0,-0.54,21.0,-0.3,11.0,-0.16,4.0,-0.16,18.0,-0.72,3.0,-0.12
393,488,dynasty warriors 7,xbox-360,35.0,-0.73,9.0,-0.19,4.0,-0.08,2.0,-0.09,18.0,-0.82,2.0,-0.09
