GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
654,654,2007,Action,D3Publisher,D3Publisher,0.18,0.17,0.0,0.0,0.01,6,19
655,655,2005,Action,Square,Square Enix,0.45,0.13,0.0,0.31,0.01,34,41
656,656,2007,Role-Playing,Square,ArtePiazza,1.64,0.32,0.02,1.27,0.03,62,44
657,657,2009,Role-Playing,Nintendo,Level 5,5.85,0.66,0.69,4.35,0.15,262,65
658,658,2006,Role-Playing,Square,TOSE,1.78,0.23,0.03,1.49,0.03,31,30
659,659,2010,Role-Playing,Square,TOSE,1.45,0.11,0.08,1.24,0.02,36,33
660,660,2007,Role-Playing,Square,Eighting,0.71,0.18,0.01,0.5,0.02,23,43
661,661,2008,Role-Playing,Square,ArtePiazza,1.59,0.19,0.02,1.36,0.02,104,46
662,662,2010,Role-Playing,Nintendo,ArtePiazza,1.81,0.22,0.21,1.35,0.03,50,41
663,663,2004,Role-Playing,Square,Level 5,6.069999999999999,0.65,0.75,4.47,0.2,350,63
664,664,2013,Role-Playing,Nippon Ichi Software,Vanillaware,0.92,0.41,0.12,0.29,0.1,322,62
665,665,2012,Role-Playing,Capcom,Capcom,2.57,0.83,0.7,0.79,0.25,384,59
666,666,2002,Platform,Ubisoft,Dragonstone Software,0.09,0.07,0.02,0.0,0.0,5,27
667,667,2002,Adventure,Sony,Surreal Software,0.26,0.13,0.1,0.0,0.03,33,31
668,668,2003,Shooter,Unknown,Idol FX,0.06,0.05,0.01,0.0,0.0,32,16
669,669,2003,Role-Playing,Square,Cavia Inc.,0.65,0.19,0.15,0.26,0.05,137,55
670,670,2005,Role-Playing,Ubisoft,Cavia Inc.,0.13,0.06,0.05,0.0,0.02,53,34
671,671,2013,Role-Playing,Square,Access Games,0.31,0.1,0.0,0.19,0.02,313,33
672,672,2009,Role-Playing,Eidos Interactive,Radon Labs,0.01,0.01,0.0,0.0,0.0,134,35
673,673,2007,Action,THQ,5TH Cell,0.79,0.71,0.02,0.0,0.06,39,34
674,674,2008,Adventure,THQ,Altron,1.4899999999999998,1.0,0.36,0.0,0.13,11,12
675,675,2009,Puzzle,THQ,Planet Moon Studios,1.41,0.74,0.53,0.0,0.14,8,22
676,676,2011,Misc,Sega,Sega,0.25,0.16,0.07,0.0,0.02,16,31
677,677,2006,Adventure,Empire Interactive,Funcom,0.04,0.03,0.01,0.0,0.0,326,45
678,678,2004,Racing,Atari,Reflections Interactive,2.03,0.98,0.86,0.0,0.19,49,57
679,679,2014,Racing,Sony,Evolution Studios,2.01,0.35,1.31,0.02,0.33,1815,85
680,680,2007,Racing,Ubisoft,Sumo Digital,0.25,0.03,0.14,0.0,0.08,32,28
681,681,2002,Action,Atari,Sennari Interactive,0.35,0.25,0.09,0.0,0.01,6,9
682,682,2006,Racing,Atari,Reflections Interactive,0.36,0.18,0.12,0.03,0.03,71,41
683,683,2011,Racing,Ubisoft,Ubisoft,0.0999999999999999,0.05,0.04,0.0,0.01,33,13
684,684,2011,Racing,Ubisoft,Ubisoft Reflections,2.04,0.6,1.12,0.01,0.31,192,63
685,685,2002,Racing,Electronic Arts,Attention To Detail,0.19,0.1,0.07,0.0,0.02,4,10
686,686,2004,Misc,Atari,Mistic Software,0.22,0.16,0.06,0.0,0.0,0,10
687,687,2011,Shooter,Take-Two Interactive,Gearbox Software,2.01,1.03,0.73,0.0,0.25,521,76
688,688,2011,Role-Playing,Unknown,Trendy Entertainment,0.02,0.02,0.0,0.0,0.0,61,38
689,689,2005,Role-Playing,Microsoft,Gas Powered Games,0.02,0.0,0.02,0.0,0.0,185,51
690,690,2011,Role-Playing,Square,Obsidian Entertainment,0.95,0.46,0.34,0.04,0.11,117,55
691,691,2006,Role-Playing,Take-Two Interactive,SuperVillain Studios,0.1699999999999999,0.13,0.02,0.0,0.02,33,32
692,692,2003,Role-Playing,Atari,Atari SA,0.26,0.19,0.06,0.0,0.01,9,33
693,693,2007,Strategy,Atari,Kuju Entertainment,0.0999999999999999,0.09,0.0,0.0,0.01,14,38
694,694,2015,Action,Warner Bros. Interactive Entertainment,Techland,2.66,1.17,1.02,0.12,0.35,2279,58
695,695,2002,Strategy,Tecmo Koei,Koei,0.29,0.06,0.05,0.16,0.02,13,14
696,696,2003,Strategy,Tecmo Koei,Koei,0.0999999999999999,0.05,0.04,0.0,0.01,14,18
697,697,2001,Action,THQ,Omega Force,1.94,0.5900000000000001,0.18,1.07,0.1,58,17
698,698,2003,Action,Tecmo Koei,Omega Force,2.26,0.75,0.24,1.13,0.14,76,24
699,699,2003,Action,Tecmo Koei,Omega Force,0.8500000000000001,0.17,0.13,0.51,0.04,13,15
700,700,2005,Action,Tecmo Koei,Omega Force,1.44,0.2799999999999999,0.19,0.91,0.06,39,29
701,701,2006,Action,Tecmo Koei,Omega Force,0.48,0.22,0.0999999999999999,0.12,0.04,14,40
702,702,2007,Action,Tecmo Koei,Omega Force,1.24,0.4499999999999999,0.2299999999999999,0.47,0.09,27,42
703,703,2009,Action,Tecmo Koei,Omega Force,0.5800000000000001,0.3,0.05,0.19,0.04,13,24
704,704,2011,Action,Tecmo Koei,Omega Force,1.16,0.41,0.21,0.46,0.08,70,25
705,705,2011,Action,Tecmo Koei,Omega Force,0.27,0.04,0.05,0.16,0.02,18,11
706,706,2013,Action,Tecmo Koei,Omega Force,0.77,0.21,0.16,0.34,0.06,87,26
707,707,2005,Action,Nintendo,Koei,0.11,0.08,0.03,0.0,0.0,4,22
708,708,2011,Action,Tecmo Koei,Omega Force,0.27,0.06,0.07,0.11,0.03,77,35
709,709,2008,Action,Namco Bandai Games,Koei,0.28,0.0,0.0,0.28,0.0,10,34
710,710,2008,Action,Namco Bandai Games,Omega Force,1.03,0.2,0.13,0.65,0.05,13,30
711,711,2010,Action,Tecmo Koei,Omega Force,0.72,0.22,0.09,0.38,0.03,24,27
712,712,2013,Action,Tecmo Koei,Omega Force,0.36,0.0,0.0,0.36,0.0,33,35
713,713,2009,Action,Ubisoft,Omega Force,0.98,0.27,0.1699999999999999,0.47,0.07,12,28
714,714,2007,Sports,Electronic Arts,EA Canada,1.63,0.98,0.49,0.0,0.16,8,32
715,715,2009,Sports,Electronic Arts,EA Canada,3.92,2.1,1.36,0.06,0.4,7,27
716,716,2010,Sports,Electronic Arts,EA Canada,2.6,1.48,0.8500000000000001,0.0,0.27,11,21
717,717,2010,Fighting,Electronic Arts,EA Tiburon,0.74,0.39,0.25,0.01,0.09,55,63
718,718,2014,Sports,Electronic Arts,EA Sports,1.5,0.76,0.52,0.01,0.21,305,57
719,719,2016,Sports,Electronic Arts,EA Sports,1.3,0.51,0.61,0.0,0.18,109,42
720,720,2006,Action,D3Publisher,Sandlot,0.08,0.04,0.01,0.03,0.0,42,55
721,721,2013,Shooter,D3Publisher,Sandlot,0.52,0.1,0.07,0.32,0.03,63,28
722,722,2011,Action,D3Publisher,Sandlot,0.25,0.04,0.01,0.18,0.02,24,20
723,723,2015,Shooter,Xseed Games,Sandlot,0.05,0.02,0.02,0.0,0.01,88,40
724,724,2011,Shooter,D3Publisher,Vicious Cycle,0.39,0.16,0.09,0.11,0.03,49,40
725,725,2001,Platform,Interplay,Game Titan,0.29,0.2,0.08,0.0,0.01,17,10
726,726,2009,Shooter,D3Publisher,Vicious Cycle,0.24,0.19,0.03,0.0,0.02,20,53
727,727,2002,Adventure,Sony,Appaloosa Interactive,0.14,0.07,0.05,0.0,0.02,25,26
728,728,2008,Puzzle,Sony,SCE/WWS,0.09,0.0,0.01,0.08,0.0,13,32
729,729,2011,Adventure,Rondomedia,Daedalic Entertainment,0.08,0.0,0.07,0.0,0.01,112,19
