RID,GameID,metascore,global_user_score_mean,user_score_mean
623,623,73,8.2,8.333
624,624,54,5.844,5.547
625,625,67,7.433,7.278
626,626,66,7.7,6.714
627,627,77,8.7,8.097
628,628,72,7.7,6.75
629,629,72,8.6,8.263
630,630,72,8.892,9.08
631,631,72,7.232,6.421
632,632,62,8.2,7.75
633,633,61,6.8,6.0
634,634,57,6.7,6.333
635,635,48,7.9,9.214
636,636,49,6.048,6.0
637,637,70,7.6,3.5
638,638,65,8.1,7.667
639,639,73,7.6,7.6
640,640,66,7.8,7.2
641,641,40,4.7,5.0
642,642,63,8.5,9.25
643,643,53,6.0,4.6
644,644,75,8.6,8.857
645,645,58,5.449,5.628
646,646,28,1.3,0.556
647,647,72,8.1,8.125
648,648,78,7.7,6.0
649,649,70,7.5,5.0
650,650,56,6.823,6.462
651,651,57,7.6,7.15
652,652,65,7.7,8.0
653,653,69,7.319,7.215
654,654,51,5.7,5.0
655,655,83,8.0,9.286
656,656,80,7.8,8.667
657,657,87,8.5,8.979
658,658,75,7.1,7.2
659,659,77,8.2,8.125
660,660,65,5.5,5.8
661,661,84,8.8,9.182
662,662,78,8.1,8.0
663,663,89,8.6,8.831
664,664,82,8.268,8.594
665,665,75,8.106,8.167
666,666,62,7.0,7.0
667,667,78,8.2,9.333
668,668,22,2.0,2.0
669,669,63,7.3,6.448
670,670,58,6.9,9.2
671,671,61,7.8,7.404
672,672,75,8.0,7.381
673,673,73,7.5,7.75
674,674,68,7.4,7.333
675,675,58,6.991,7.0
676,676,53,5.93,5.3
677,677,75,8.3,6.833
678,678,56,4.402,5.561
679,679,71,6.4,7.125
680,680,57,7.2,8.2
681,681,73,4.0,8.0
682,682,69,6.317,8.233
683,683,48,5.3,5.25
684,684,80,7.603,8.29
685,685,57,4.733,4.667
686,686,66,8.0,8.0
687,687,49,5.05,5.239
688,688,77,7.3,6.878
689,689,80,8.0,8.611
690,690,72,5.466,5.188
691,691,74,7.7,7.0
692,692,72,6.1,10.0
693,693,58,6.8,5.0
694,694,74,7.968,7.701
695,695,79,5.9,7.0
696,696,78,7.4,4.5
697,697,78,7.845,9.0
698,698,78,7.4,8.375
699,699,72,5.3,10.0
700,700,69,7.7,6.444
701,701,61,6.875,5.25
702,702,60,6.695,6.263
703,703,59,5.7,5.75
704,704,57,7.671,8.122
705,705,64,6.8,9.25
706,706,68,7.825,7.938
707,707,56,6.0,6.0
708,708,67,7.5,8.0
709,709,55,6.2,5.667
710,710,49,7.033,6.0
711,711,65,7.46,7.8
712,712,64,7.5,7.556
713,713,65,6.675,4.25
714,714,66,5.267,6.0
715,715,81,4.9,10.0
716,716,68,6.0,6.0
717,717,79,7.336,7.34
718,718,70,6.151,5.808
719,719,76,5.77,4.765
720,720,69,7.7,6.462
721,721,69,7.803,7.939
722,722,72,8.2,9.0
723,723,64,8.3,9.182
724,724,68,7.518,8.25
725,725,72,6.471,5.714
726,726,53,5.886,5.286
727,727,84,7.867,8.111
728,728,81,7.133,7.667
729,729,75,7.75,7.75
730,730,78,7.212,7.147
731,731,75,6.9,6.0
732,732,87,8.3,7.95
733,733,81,8.4,8.6
734,734,79,7.4,7.75
735,735,50,3.3,3.4
736,736,90,7.6,6.63
737,737,69,6.976,6.118
738,738,66,7.216,7.158
739,739,72,7.8,8.5
740,740,76,8.6,9.5
741,741,52,5.626,5.441
742,742,84,7.1,7.071
743,743,82,7.699,7.787
744,744,65,7.618,6.864
745,745,70,7.6,6.556
746,746,48,6.409,6.818
747,747,40,3.628,4.778
748,748,86,7.688,6.5
749,749,85,7.9,7.0
750,750,92,8.353,9.85
751,751,88,6.8,8.0
752,752,92,8.7,8.38
753,753,79,7.827,7.4
754,754,77,7.9,6.0
755,755,75,7.9,7.286
756,756,82,7.8,10.0
757,757,77,8.5,7.833
758,758,80,8.3,8.077
759,759,79,8.6,8.6
760,760,69,6.7,4.061
761,761,74,3.4,10.0
762,762,77,3.6,10.0
763,763,66,8.367,8.167
764,764,75,8.4,6.615
765,765,63,7.8,9.0
766,766,76,4.568,5.53
767,767,72,7.9,6.714
768,768,77,7.4,5.0
769,769,67,8.4,8.5
770,770,70,5.9,10.0
771,771,89,8.7,8.6
772,772,77,8.4,8.4
773,773,86,7.7,7.0
774,774,77,7.603,7.394
775,775,75,6.636,7.124
776,776,66,7.8,7.667
777,777,61,7.1,6.9
778,778,83,7.8,2.0
779,779,88,7.75,7.833
780,780,69,6.5,7.167
781,781,84,7.567,7.28
782,782,84,7.161,7.258
783,783,84,7.334,6.936
784,784,65,5.15,5.13
785,785,64,5.884,5.903
786,786,89,7.9,8.56
787,787,80,6.15,5.602
788,788,61,4.9,6.737
789,789,83,8.6,8.442
790,790,65,7.653,6.647
791,791,51,4.243,3.571
792,792,93,8.038,8.094
793,793,87,6.383,6.732
794,794,66,5.2,5.333
795,795,84,8.538,8.759
796,796,50,6.659,7.059
797,797,39,5.215,5.63
798,798,62,5.883,4.667
799,799,45,5.2,1.667
800,800,73,8.4,8.333
801,801,89,7.8,7.514
802,802,85,6.381,6.424
803,803,88,8.342,8.383
804,804,85,7.479,7.691
805,805,78,6.6,5.909
806,806,40,6.837,6.579
807,807,74,8.3,7.632
808,808,81,8.7,8.433
809,809,78,8.8,8.625
810,810,67,7.056,7.211
811,811,84,6.9,4.5
812,812,30,8.0,8.0
813,813,71,4.95,4.5
814,814,77,7.8,7.0
815,815,80,6.95,8.25
816,816,84,5.057,4.042
817,817,82,4.991,4.436
818,818,84,4.42,3.61
819,819,84,4.955,4.479
820,820,87,6.952,7.64
821,821,90,7.135,7.275
822,822,88,7.702,7.525
823,823,90,5.942,4.819
824,824,88,6.825,7.75
825,825,84,6.925,5.25
826,826,81,6.933,7.444
827,827,59,7.9,6.5
828,828,63,8.085,7.846
829,829,72,7.0,6.0
830,830,85,5.8,9.0
831,831,86,7.482,7.026
832,832,88,6.8,9.333
833,833,86,7.476,8.353
834,834,87,7.471,6.0
835,835,23,2.8,3.762
836,836,45,7.8,9.4
837,837,89,7.3,9.667
838,838,75,6.9,7.0
839,839,77,7.0,7.333
840,840,66,6.2,6.364
841,841,69,6.8,7.091
842,842,75,7.0,8.0
843,843,76,8.3,10.0
844,844,79,8.1,8.176
845,845,85,8.2,8.231
846,846,77,7.7,7.8
847,847,80,8.0,7.435
848,848,87,8.2,8.44
849,849,72,6.693,6.365
850,850,92,8.9,8.646
851,851,85,7.1,5.66
852,852,85,7.324,6.61
853,853,73,8.54,10.0
854,854,83,7.0,9.25
855,855,92,7.5,8.286
856,856,81,7.1,7.7
857,857,83,6.038,6.712
858,858,79,6.773,6.787
859,859,86,8.0,8.0
860,860,71,6.8,7.136
861,861,82,8.3,7.667
862,862,88,9.0,9.216
863,863,92,9.0,8.292
864,864,85,9.0,9.128
865,865,78,8.7,8.55
866,866,81,7.4,6.875
867,867,85,8.8,9.121
868,868,78,8.0,9.25
869,869,69,8.2,8.25
870,870,59,7.18,7.667
871,871,49,6.757,7.357
872,872,71,7.7,7.227
873,873,73,8.61,8.275
874,874,74,8.6,8.556
875,875,80,8.116,7.2
876,876,48,7.2,7.286
877,877,75,8.1,8.115
878,878,87,7.7,7.6
879,879,85,8.388,8.875
880,880,84,8.1,7.941
881,881,86,6.9,5.383
882,882,85,5.8,3.06
883,883,80,6.2,4.718
884,884,81,7.1,4.571
885,885,55,6.15,7.5
886,886,62,7.9,7.0
887,887,58,5.7,5.167
888,888,64,8.4,8.5
889,889,71,6.529,5.286
890,890,68,7.5,7.529
891,891,85,8.7,9.146
892,892,86,8.4,8.735
893,893,91,7.705,7.527
894,894,84,5.55,4.49
895,895,90,7.9,8.5
896,896,92,8.2,8.58
897,897,91,8.3,8.76
898,898,79,6.1,6.362
899,899,87,7.8,7.265
900,900,70,8.3,9.429
901,901,68,7.8,8.375
902,902,57,5.2,3.706
903,903,67,8.4,8.579
904,904,64,8.0,8.0
905,905,81,7.592,8.542
906,906,73,8.2,7.184
907,907,81,8.0,7.8
908,908,85,8.9,9.028
909,909,83,6.6,8.0
910,910,54,6.1,6.5
911,911,71,7.505,7.05
912,912,75,8.6,8.5
913,913,58,5.777,5.333
914,914,75,6.512,5.882
915,915,35,2.6,2.5
916,916,70,7.5,7.833
917,917,67,6.2,7.875
918,918,84,7.04,6.4
919,919,67,5.9,6.5
920,920,56,6.3,6.333
921,921,58,5.1,8.0
922,922,50,7.083,8.5
923,923,64,5.5,8.4
924,924,59,6.971,7.286
925,925,61,6.1,4.0
926,926,70,7.2,6.5
927,927,49,6.4,6.833
928,928,42,3.7,6.0
929,929,62,7.4,7.5
930,930,61,6.7,6.839
931,931,71,7.7,6.0
932,932,52,5.875,6.465
933,933,25,3.1,2.714
934,934,29,6.1,6.25
935,935,52,6.7,3.667
936,936,60,8.3,10.0
937,937,60,8.02,9.2
938,938,59,6.533,5.0
939,939,94,7.939,8.12
940,940,93,8.4,9.043
941,941,91,8.1,8.935
942,942,79,5.8,6.404
943,943,82,6.545,6.621
944,944,74,8.7,8.778
945,945,55,6.3,5.375
946,946,83,8.7,9.75
947,947,80,6.1,7.667
948,948,54,7.371,7.294
949,949,69,7.8,7.5
950,950,83,8.291,9.279
951,951,78,7.939,8.1
952,952,85,8.4,8.5
953,953,59,8.4,9.2
954,954,65,7.967,8.0
955,955,69,7.2,8.0
956,956,64,7.73,8.913
957,957,62,6.6,6.128
958,958,70,7.833,6.333
959,959,69,6.979,5.552
960,960,70,7.047,7.263
961,961,94,8.782,8.518
962,962,91,8.429,7.829
963,963,93,9.1,9.089
964,964,92,9.0,9.049
965,965,80,7.8,7.682
966,966,91,8.5,8.476
967,967,86,8.8,8.842
968,968,84,8.8,8.806
969,969,71,8.0,9.333
970,970,73,7.715,7.538
971,971,53,10.0,10.0
972,972,63,8.467,8.667
973,973,45,5.3,5.2
974,974,91,8.8,9.082
975,975,79,8.1,7.571
976,976,81,7.68,7.6
977,977,72,6.09,5.714
978,978,61,6.594,6.778
979,979,80,8.0,6.783
980,980,63,7.3,6.643
981,981,66,8.3,8.417
982,982,78,8.5,9.0
983,983,82,9.0,9.429
984,984,95,8.4,8.5
985,985,89,9.2,8.894
986,986,84,7.8,7.347
987,987,80,6.2,3.778
988,988,81,8.0,6.633
