SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
540,540,0.179,-0.031,-0.693
541,541,-0.445,-0.254,-0.01
542,542,0.609,0.106,0.241
543,543,0.107,-0.016,-0.589
544,544,0.483,0.049,0.043
545,545,0.761,0.096,1.0
546,546,0.356,0.089,0.345
547,547,-0.159,-0.076,-0.417
548,548,0.52,0.216,0.577
549,549,0.239,0.125,0.167
550,550,0.363,0.1,0.141
551,551,-0.352,-0.336,-0.998
552,552,0.542,0.17,0.598
553,553,0.569,0.058,-0.154
554,554,0.526,0.067,0.454
555,555,0.0,0.018,-0.983
556,556,0.275,-0.081,-0.319
557,557,0.91,0.113,0.951
558,558,0.44,0.131,0.372
559,559,-0.289,-0.225,-0.576
560,560,0.464,0.071,0.445
561,561,0.68,0.113,0.237
562,562,0.061,-0.108,-0.322
563,563,0.34,-0.011,0.036
564,564,0.979,0.04,0.991
565,565,0.875,0.037,-0.913
566,566,0.414,0.043,-0.066
567,567,0.563,0.068,0.033
568,568,0.672,0.11,0.209
569,569,0.437,0.032,-0.081
570,570,0.603,0.075,-0.019
571,571,0.316,0.009,-0.188
572,572,0.158,-0.158,-0.535
573,573,0.899,0.186,0.744
574,574,0.713,0.107,0.011
575,575,0.796,0.161,0.656
576,576,0.697,0.108,0.282
577,577,0.575,0.067,-0.06
578,578,0.35,-0.267,-0.998
579,579,0.816,0.161,0.301
580,580,0.631,0.136,0.459
581,581,0.65,0.246,-0.002
582,582,0.713,0.048,-0.114
583,583,0.749,0.135,0.669
584,584,0.636,0.017,0.125
585,585,0.552,0.062,0.252
586,586,0.851,0.159,0.666
587,587,0.879,0.126,0.995
588,588,0.27,0.047,-0.001
589,589,0.588,0.067,0.323
590,590,0.796,0.097,0.518
591,591,0.209,0.077,-0.521
592,592,0.831,0.123,0.335
593,593,0.754,-0.093,-0.011
594,594,0.875,0.025,0.999
595,595,0.487,-0.07,0.501
596,596,0.615,0.068,0.169
597,597,0.551,0.095,-0.047
598,598,0.517,-0.016,-0.242
599,599,0.718,0.108,0.235
600,600,0.449,0.052,-0.033
601,601,0.756,0.091,-0.033
602,602,0.71,0.052,0.237
603,603,0.215,0.06,0.163
